Filename,Foldername,Path,MovedPath
1 RA CommercialInvoice 1:2.pdf,,/gedeelde mappen/naxcar - boekhouding/2022/q1.2022/financieel/paypal februari 22/1 ra commercialinvoice 1:2.pdf,
2 RA CommercialInvoice 4:2.pdf,,/gedeelde mappen/naxcar - boekhouding/2022/q1.2022/financieel/paypal februari 22/2 ra commercialinvoice 4:2.pdf,
"2,1 RA CommercialInvoice 4:2.pdf",,"/gedeelde mappen/naxcar - boekhouding/2022/q1.2022/financieel/paypal februari 22/2,1 ra commercialinvoice 4:2.pdf",
STG 18:02 KREDIT.pdf,,/gedeelde mappen/vandeperre thomas - boekhouding/2022/q1.2022/aankopen/stg 18:02 kredit.pdf,
STG 23:03.pdf,,/gedeelde mappen/vandeperre thomas - boekhouding/2022/q1.2022/aankopen/stg 23:03.pdf,
STG 17:03..pdf,,/gedeelde mappen/vandeperre thomas - boekhouding/2022/q1.2022/aankopen/stg 17:03..pdf,
STG 17:03.pdf,,/gedeelde mappen/vandeperre thomas - boekhouding/2022/q1.2022/aankopen/stg 17:03.pdf,
STG 5:03.pdf,,/gedeelde mappen/vandeperre thomas - boekhouding/2022/q1.2022/aankopen/stg 5:03.pdf,
STG 2:03.pdf,,/gedeelde mappen/vandeperre thomas - boekhouding/2022/q1.2022/aankopen/stg 2:03.pdf,
STG 23:02.pdf,,/gedeelde mappen/vandeperre thomas - boekhouding/2022/q1.2022/aankopen/stg 23:02.pdf,
IMT factuur 1:01,,/gedeelde mappen/vandeperre thomas - boekhouding/2022/q1.2022/aankopen/imt factuur 1:01,
IMT factuur 1:02,,/gedeelde mappen/vandeperre thomas - boekhouding/2022/q1.2022/aankopen/imt factuur 1:02,
STG 30:03.pdf,,/gedeelde mappen/vandeperre thomas - boekhouding/2022/q1.2022/aankopen/stg 30:03.pdf,
desco 25:02.pdf,,/gedeelde mappen/vandeperre thomas - boekhouding/2022/q1.2022/aankopen/desco 25:02.pdf,
Dzsco 11:03.pdf,,/gedeelde mappen/vandeperre thomas - boekhouding/2022/q1.2022/aankopen/dzsco 11:03.pdf,
Account:Billing Address--Ze.textClipping,,/gedeelde mappen/blue duck customs vof - boekhouding/2022/q1.2022/aankopen/account:billing address--ze.textclipping,
AUTONATIE - Factuur 2022:DVWRA:997.pdf,,/gedeelde mappen/bytesize bvba - boekhouding/2022/p&l/algemeen/q1.2022/aankopen/autonatie - factuur 2022:dvwra:997.pdf,
GUNS - Factuur 2022:08.pdf,,/gedeelde mappen/bytesize bvba - boekhouding/2022/p&l/algemeen/q1.2022/aankopen/guns - factuur 2022:08.pdf,
KBC - Renting - Opstartkosten - factuur 0001:0001:BE:2201105363.pdf,,/gedeelde mappen/bytesize bvba - boekhouding/te betalen/bytesize/# domiciliering #/kbc - renting - opstartkosten - factuur 0001:0001:be:2201105363.pdf,
EMZ - PARLEVINK - Factuur 2022:10.pdf,,/gedeelde mappen/bytesize bvba - boekhouding/2022/p&l/algemeen/q1.2022/aankopen/emz - parlevink - factuur 2022:10.pdf,
PARLEVINK - Factuur 2022:10.pdf,,/gedeelde mappen/bytesize bvba - boekhouding/2022/p&l/algemeen/q1.2022/aankopen/parlevink - factuur 2022:10.pdf,
,Dinner : Eten,/gedeelde mappen/osteopathie margot chen maenhaut - boekhouding/2022/q1.2022/aankopen/dinner : eten,
,Verisure:Securitas,/gedeelde mappen/osteopathie margot chen maenhaut - boekhouding/2022/q1.2022/aankopen/verisure:securitas,
